name,revisions
Anonymous,5590
|Obelix83|,359
|3coma14|,326
|El Ayudante|,195
|PatruBOT|,181
|Matdrodes|,172
|Technopat|,143
|Jkbw|,141
|SeroBOT|,116
|Adrián Hermida|,108
|Jarould|,108
|Jorge 2701|,108
|Silvia3|,107
|Fidelmoquegua|,106
|Regaladiux|,103
|AVBOT|,102
|Joseaperez|,91
|Egaida|,89
|Rastrojo|,85
|Turing92|,78
|Blitox|,74
|Muro Bot|,67
|Gsrdzl|,66
|Deneapol|,65
|Muro de Aguas|,62
