resource,cluster
Anonymous,+100
|Beniaminsava|,[2-5)
|BenjaBot|,[10-20)
|Benjaminoman7|,1
|Benjavalero|,[2-5)
|Benjaxxx-123456|,[2-5)
|Beren2|,1
|Bermiego|,1
|Bernard|,1
|Bertosis|,1
|BetBot~eswiki|,[2-5)
|BetelMayet|,[2-5)
|Beto29|,[5-10)
|BetoCG|,[5-10)
|Bibliofilotranstornado|,[2-5)
|Bienchido|,1
|Bigsus-bot|,[10-20)
|Bigsus|,[20-50)
|Billinghurst|,1
|BlackBeast|,[2-5)
|Blitox|,[50-100)
|BludgerPan|,1
|Bluenote|,[2-5)
|Bluetom|,[5-10)
|BodhisattvaBot|,1
|Boku wa kage|,[10-20)
|Born2bgratis|,[2-5)
|BossAll1005|,1
|Bot-Schafter|,[5-10)
|Bot0811|,1
|BotMultichill|,[5-10)
|BotSottile|,1
|Botarel|,[2-5)
|Botellín|,1
|Boticario|,[5-10)
|Botito777|,[2-5)
|Botones|,[2-5)
|Botx|,1
|Bradfield|,1
|Bradomín|,1
|Bread girl|,1
|Brenda Enríquez|,1
|Brit|,[2-5)
|BroOkWiki|,1
|Bruno Fenty|,[2-5)
|Bryanpvz|,[5-10)
|Bubbletruble|,[20-50)
|Buccaneer008|,[20-50)
|Bucephala|,[2-5)
|Bucho|,[2-5)
|BuenaGente|,[2-5)
|Buisqui|,[2-5)
|Buonasera2|,[2-5)
|Bur123gos|,1
|C est moi|,1
|C3RV4NTE5|,[2-5)
|CAPTAIN RAJU|,[2-5)
|CASF|,[50-100)
|CEM-bot|,[50-100)
|CHUCAO|,1
|CaRaNt11|,1
|Cacamania|,1
|Cacholiliben|,1
|Cacique500|,1
|Caiserbot|,[2-5)
|Caiser|,[2-5)
|CalicoCatLover|,[2-5)
|Camibohp|,1
|Camilo|,1
|Camima|,[20-50)
|Camrada18|,[5-10)
|CamzDragonn|,1
|CanaryBot|,1
|Cansado|,1
|Cantus|,1
|Canyq|,1
|Caqui|,[5-10)
|Carabás|,[20-50)
|Carl Evan|,1
|Carlatf|,[2-5)
|Carlitoscarlos|,[2-5)
|Carlos L´H|,1
|Carlos Quesada~eswiki|,1
|Carlos Serrano Infeliz|,[2-5)
|Carlos Vaca Flores|,[2-5)
|Carlosblh|,1
|Carlosdgilp|,[2-5)
|Carmin|,[2-5)
|Caro0218|,[2-5)
|Carrousel|,1
|Carutsu|,1
|Caspio|,1
|Catalaalatac|,1
|Cdelaorden|,1
|Cdertf|,1
|Cembo123|,1
|Cemeruquin 30|,[2-5)
|Cerato|,1
|Ceroi|,1
|Cesar.muroya|,1
|CestBOT|,[2-5)
|Chabacano|,1
|Chabbot|,[5-10)
|Changcho|,[2-5)
|Charlyfar|,[2-5)
|Chasko|,1
|Chelo1980|,[2-5)
|ChemoWeb|,1
|CheoMalanga|,[2-5)
|ChessBOT|,1
|Cheveri|,[10-20)
|Chewie|,1
|Chico palm|,[2-5)
|Chico512|,1
|Chicooscuro|,1
|Chien|,[2-5)
|Chlewbot|,[2-5)
|Chobot|,[5-10)
|Choche man1|,1
|ChrisJericho|,1
|Christian24|,[2-5)
|Christogol|,[2-5)
|Chueco23456|,1
|ChuispastonBot|,[5-10)
|Chupacabras2000|,1
