resource,cluster
|BOTarate|,[5-10)
|Halosecrets0032|,1
|José.|,[2-5)
|Carlos L´H|,1
|Weuc|,1
|Uruk|,[20-50)
|Phoenixfuego|,1
|AngelitoMagno|,[2-5)
|Queninosta|,1
|Victormoz|,1
|Jorghex|,1
|Thunderbird2|,[5-10)
|Nallimbot|,1
|LauraHM|,1
|Mark Gasoline|,[10-20)
|Felipe.bachomo|,1
|Montgomery|,[20-50)
|Zifra|,1
|Jotterbot|,[2-5)
|3coma14|,[50-100)
|Wiki Winner|,1
|Ornitododo|,1
|CASF|,1
|MarcoAurelio|,1
|Vic Fede|,[2-5)
|Timour~eswiki|,[2-5)
|Krysthyan|,1
|P.o.l.o.|,[5-10)
|Marvelshine|,1
|Xarcken|,[5-10)
|Santiperez|,[2-5)
|Elultimolicantropo|,[2-5)
|Emiharry|,1
|ElMeBot|,1
|Nurdomi|,[2-5)
|Navelegante|,[5-10)
|NudoMarinero|,[5-10)
|Pabloperi|,1
|Adrian Galan|,1
|Ranma sb15|,[2-5)
|BlackBeast|,1
|Locos epraix|,1
|Albano Barcelona Caballero|,1
|Rodelar|,[20-50)
|Veon|,1
|Jesuson63|,1
|Tsuname|,[2-5)
|Rodrigo colimodio|,[2-5)
|Dictablanda|,[2-5)
|Npulidom|,[2-5)
|SilvonenBot|,[2-5)
|Art08|,1
|K0n7r0vrzy|,1
|Danielba894|,[2-5)
|Mafores|,1
|Metamario|,1
|JMCC1|,[5-10)
|VARGUX|,1
|Wadim|,1
|Tintero|,1
|Kanto|,1
|Furado|,[5-10)
|Drinibot|,[2-5)
|MauritsBot|,1
|DragonBot|,1
|Xqbot|,[10-20)
|Tuncket|,[2-5)
|Antón Francho|,[2-5)
|Locobot|,1
|Hprmedina|,[2-5)
|Pablo323|,[2-5)
|Bigsus-bot|,[5-10)
|HerculeBot|,1
|AstaBOTh15|,[5-10)
|Sa~eswiki|,1
|Manuguay|,1
|Millars|,[2-5)
|Josell2|,[20-50)
|BetelMayet|,[2-5)
|FaiBOT|,1
|Ortisa|,1
|Yago AB|,1
|Galaxy4|,1
|Vubo|,1
|Héroe del ruido|,1
|TobeBot|,1
|Echando una mano|,[2-5)
|DixonDBot|,[2-5)
|Jorge c2010|,[10-20)
|Lema|,1
|Karshan|,[2-5)
|Altorrijos|,[2-5)
|Jondel|,1
|Almabot|,[2-5)
|ArthurBot|,[2-5)
|Xvazquez|,[5-10)
|Alexbot|,1
|Maximo88|,1
|Addicted04|,1
|Traleo|,1
|Jarlaxle|,1
|EmausBot|,[5-10)
|Wkboonec|,1
|Figuerai|,[2-5)
|Ronho Así y Asao|,[2-5)
|Path|,[2-5)
|AldanaN|,[5-10)
|Christian24|,[2-5)
|KamikazeBot|,[2-5)
|ChuispastonBot|,[2-5)
|Mjbmrbot|,1
|Alelapenya|,[2-5)
|WikitanvirBot|,[5-10)
|NACLE|,1
|Marrovi|,1
|Poco a poco|,1
|Italo~eswiki|,1
|Movses-bot|,1
|Abián|,[2-5)
|Cordwainer|,[2-5)
|Jorge 2701|,+100
|Kikobot|,[5-10)
|TiriBOT|,[2-5)
|DonBarredora|,[2-5)
|Poromiami|,1
|Amarill0|,[2-5)
|Manrique1430|,[2-5)
|Alpertron|,[5-10)
|Lycaon83|,1
|Alexcyv37|,1
|Urbanuntil|,[2-5)
|Deivis|,1
|DEagleBot|,1
|Rondador|,[2-5)
|Nhriber|,1
|Carlos Vaca Flores|,[2-5)
|ChessBOT|,1
|MerlIwBot|,[2-5)
|Dabit100|,[10-20)
|Taty2007|,1
|JA Galán Baho|,[2-5)
|GrouchoBot|,1
|AleMaster23|,[5-10)
|Rezabot|,1
|Link58|,1
|ZéroBot|,[2-5)
|Alejandrocaro35|,[20-50)
|Grillitus|,[2-5)
|Invadibot|,1
|Acocris|,1
|Luiscardo|,[10-20)
|ERPN|,[2-5)
|Acratta|,1
|Kizar|,[2-5)
